Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD),Change%
BTC,5/2/2018,9228.8525,9029.47875,9262.32625,9025.18625,0.022080317
BTC,5/3/2018,9572.69875,9228.8525,9790.94249,9162.18625,0.037257747
BTC,5/4/2018,9817.5975,9572.69875,9855.62875,9572.69875,0.025583042
BTC,5/5/2018,9845.54375,9817.5975,9954.95375,9700.90625,0.002846547
BTC,5/6/2018,9326.76125,9845.54375,9869.65,9229.74875,-0.052692113
BTC,5/7/2018,9424.99124,9326.76125,9454.91875,9188.65875,0.010532058
BTC,5/8/2018,9039.02875,9424.99124,9426.52,9003.135,-0.040950965
BTC,5/9/2018,9327.04999,9039.02875,9360.41,8975.97374,0.03186418
BTC,5/10/2018,8920.25625,9327.04999,9383.295,8874.54,-0.043614405
BTC,5/11/2018,8408.35875,8920.25625,9002.49,8350.12875,-0.057385964
BTC,5/12/2018,8442.23875,8408.35875,8642.8025,8220.5175,0.004029324
BTC,5/13/2018,8398.86249,8442.23875,8758.58124,8343.305,-0.005138004
BTC,5/14/2018,8711.38875,8398.86249,8878.945,8296.14125,0.037210546
BTC,5/15/2018,8159.25625,8711.38875,8835.5125,8110.32625,-0.063380537
BTC,5/16/2018,8360.22875,8159.25625,8458.52625,8146.6825,0.024631228
BTC,5/17/2018,7996.82125,8360.22875,8373.22374,7931.42875,-0.043468607
BTC,5/18/2018,8237.3425,7996.82125,8273.5375,7972.5875,0.030077107
BTC,5/19/2018,8250.395,8237.3425,8392.77125,8154.14625,0.001584552
BTC,5/20/2018,8493.13125,8250.395,8582.8025,8230.20999,0.029421167
BTC,5/21/2018,8324.025,8493.13125,8566.1375,8260.78125,-0.019910943
BTC,5/22/2018,7951.51375,8324.025,8344.72374,7866.72875,-0.044751337
BTC,5/23/2018,7614.96375,7951.51375,7951.8025,7442.241484,-0.042325274
BTC,5/24/2018,7599.9525,7614.96375,7721.83125,7272.645,-0.001971283
BTC,5/25/2018,7436.835,7599.9525,7651.105547,7335.300817,-0.021462963
BTC,5/26/2018,7296.79625,7436.835,7617.84528,7226.65,-0.018830423
BTC,5/27/2018,7383.2175,7296.79625,7431.44,7251.02,0.011843725
BTC,5/28/2018,7118.42375,7383.2175,7386.68,7043.282359,-0.035864276
BTC,5/29/2018,7491.61125,7118.42375,7562.366729,7051.957839,0.052425581
BTC,5/30/2018,7363.27625,7491.61125,7541.095759,7282.183728,-0.017130494
BTC,5/31/2018,7490.62125,7540.810522,7614.063908,7361.565,0.017294611
BTC,6/1/2018,7518.333329,7494.065482,7599.180474,7393.287588,0.00369957
BTC,6/2/2018,7630.403388,7516.612569,7696.542926,7450.698017,0.014906237
BTC,6/3/2018,7716.145068,7638.232021,7774.829285,7600.263944,0.011236848
BTC,6/4/2018,7505.589277,7706.639829,7760.178308,7451.523947,-0.027287692
BTC,6/5/2018,7624.187971,7505.589281,7671.307622,7361.002623,0.015801383
BTC,6/6/2018,7658.57,7617.98,7694.6,7485,0.004509599
BTC,6/7/2018,7684.93,7658.57,7747,7630,0.003441896
BTC,6/8/2018,7618.11,7684.93,7697,7540,-0.008694939
BTC,6/9/2018,7495.1,7618.11,7678,7468.39,-0.01614705
BTC,6/10/2018,6770.31,7495.1,7496.41,6645,-0.096701845
BTC,6/11/2018,6780.340803,6680.21686,6798.662936,6673.12368,0.001481587
BTC,6/12/2018,6525.329182,6870.410349,6907.50249,6465.076128,-0.037610443
BTC,6/13/2018,6321.655965,6525.096386,6599.719555,6154.350129,-0.031212711
BTC,6/14/2018,6601.324158,6296.326859,6671.788652,6270.445304,0.044239705
BTC,6/15/2018,6397.44117,6632.446195,6642.518193,6396.940015,-0.030885165
BTC,6/16/2018,6529.544015,6397.44117,6544.614891,6329.190046,0.020649325
BTC,6/17/2018,6482.868697,6491.968323,6555.9438,6431.089233,-0.007148327
BTC,6/18/2018,6711.64967,6442.528523,6772.249183,6382.442661,0.035290083
BTC,6/19/2018,6731.710147,6706.626795,6808.166271,6669.843567,0.002988904
BTC,6/20/2018,6736.867721,6735.936984,6806.363426,6569.906701,0.000766161
BTC,6/21/2018,6729.925937,6760.255096,6787.424078,6682.936194,-0.001030417
BTC,6/22/2018,6099.445277,6729.498689,6729.900593,5987.768386,-0.09368315
BTC,6/23/2018,6198.700824,6041.926012,6313.565038,6019.834015,0.016272881
BTC,6/24/2018,6142.39257,6198.040366,6257.116743,5796.492519,-0.00908388
BTC,6/25/2018,6244.328455,6146.279887,6321.135782,6090.149999,0.016595469
BTC,6/26/2018,6148.422705,6237.509614,6267.872,6101.731205,-0.015358857
BTC,6/27/2018,6140.1915,6153.025474,6160.893065,6004.181118,-0.001338751
BTC,6/28/2018,5954.526582,6143.851708,6185.04441,5913.012632,-0.030237643
BTC,6/29/2018,6189.309252,5952.988658,6226.676707,5809.869959,0.039429276
BTC,6/30/2018,6343.8922,6185.103664,6449.892081,6137.955883,0.0249758
BTC,7/1/2018,6373.277854,6393.223356,6445.831244,6258.346633,0.004632117
BTC,7/2/2018,6629.749595,6373.184975,6682.757452,6269.923682,0.040241732
BTC,7/3/2018,6482.830594,6614.419253,6678.19556,6471.690858,-0.022160566
BTC,7/4/2018,6589.632793,6511.020037,6788.307492,6415.496256,0.016474624
BTC,7/5/2018,6538.682432,6590.003356,6699.790032,6460.276241,-0.007731897
BTC,7/6/2018,6596.53,6532.95,6638,6443.16898,0.008846976
BTC,7/7/2018,6570.427592,6580.314622,6621.102558,6501.459277,-0.003956991
BTC,7/8/2018,6744.988679,6570.427115,6800.015281,6570.405832,0.026567691
BTC,7/9/2018,6694.530851,6744.988679,6798.959786,6667.489981,-0.007480788
BTC,7/10/2018,6364.38759,6694.530851,6701.549171,6326.492899,-0.049315369
BTC,7/11/2018,6360.446668,6296.981692,6400.579589,6271.592929,-0.000619215
BTC,7/12/2018,6144.810118,6374.974582,6375.068356,6126.029743,-0.033902737
BTC,7/13/2018,6215.59,6244.68,6335.602954,6126.889781,0.011518644
BTC,7/14/2018,6254.678129,6254.799008,6323.038256,6182.083723,0.006288724
BTC,7/15/2018,6366.349904,6254.678129,6398.468153,6230.848947,0.01785412
BTC,7/16/2018,6671.625919,6356.108875,6709.159824,6335.123157,0.047951498
BTC,7/17/2018,7315.55104,6727.456337,7379.234744,6658.408659,0.09651697
